gen;step;elapsed.sec;n_sum;phi
1;4;9.869912147521973;3;2.6230441077460416
2;16;20.589871883392334;5;0.0881906527225984
3;26;31.150917291641235;6;10.218163433598917
4;31;42.005502700805664;2;15.437482143496222
5;42;52.818190574645996;7;19.437583707220398
6;46;63.96541237831116;7;28.726691996386897
7;50;74.75893354415894;4;30.812239209155265
8;57;85.84613800048828;6;23.88460612485589
9;64;96.57835173606873;5;23.249886126724206
10;72;107.29519510269165;6;27.5316374892531
11;77;118.0067286491394;4;27.24366173036891
12;86;128.60220313072205;4;29.677439508865053
13;95;139.2133665084839;7;30.334535104036824
14;99;149.79147672653198;3;33.901040973830476
15;107;160.3742265701294;4;42.51298777192278
16;114;171.26182103157043;3;45.67780539318151
17;122;183.11418390274048;7;44.27331932230719
18;128;193.98302388191223;4;47.83457106702565
19;135;204.8402910232544;6;47.79310036322397
20;140;215.89594078063965;7;51.42144580111131
21;146;227.0911889076233;6;54.27979766431149
22;151;238.26954531669617;3;53.5557339912574
23;159;249.13785123825073;4;53.16162652391495
24;168;260.1463739871979;7;52.86362450726894
25;174;271.0954327583313;5;56.05809117835636
26;182;281.8263351917267;3;66.0819952105247
27;200;292.77952814102173;6;61.89435397656318
28;211;303.6830780506134;3;71.04462358996979
29;221;314.5269386768341;4;82.68851225475025
30;246;325.4446461200714;5;98.58452448695942
31;252;336.24854350090027;5;109.39058840397361
32;258;347.102920293808;5;105.87494083235104
33;264;357.97488832473755;7;112.96319467266197
34;268;368.91408038139343;6;118.0435716041376
35;273;379.92819237709045;6;125.29126415893744
36;278;391.40115308761597;6;129.29469187719866
37;285;402.66290736198425;6;139.7409598990018
38;298;415.8328146934509;5;145.31736041990564
39;316;426.862726688385;3;149.4656821823408
40;324;438.2188470363617;2;157.41670412288718
41;333;449.57917046546936;5;156.22367539533505
42;339;460.6935694217682;2;160.7457637039512
43;348;471.75574493408203;4;154.04303768004027
44;357;482.98451685905457;5;150.3993467249545
45;363;494.4820644855499;5;166.81124267306157
46;369;505.68521451950073;8;160.08627549141826
47;374;516.7884254455566;7;154.06757110129314
48;386;528.5185225009918;4;163.92329138699074
49;393;539.9407606124878;5;174.03267675550404
50;399;551.6749477386475;4;159.9282964313518
51;410;563.4314918518066;5;197.3955580398368
52;418;574.8907945156097;6;217.81941641017855
53;429;585.9537734985352;3;184.53991652787465
54;473;596.9325211048126;4;265.47172420433844
55;480;608.1311318874359;5;237.66515482819239
56;488;619.6670818328857;4;243.30444056449312
57;497;631.1463587284088;4;281.6910942667371
58;510;643.1214880943298;3;273.2514432168674
59;520;654.7846930027008;5;276.20574301104284
60;528;666.3323514461517;7;276.6656039773888
61;532;677.8312559127808;7;281.9928219386381
62;536;689.3362753391266;5;280.5619208235425
63;542;701.0465240478516;6;284.68803555840253
64;547;712.4773943424225;3;277.4643258340795
65;557;723.5329704284668;5;273.2605827858046
66;567;734.817699432373;6;274.88625648062504
67;572;746.0470607280731;5;270.3305952799931
68;578;757.4410080909729;6;272.4586767052826
69;583;768.8594620227814;4;271.15487480092065
70;590;780.1350190639496;6;282.39553184541955
71;601;791.7210280895233;4;275.7043021042023
72;608;802.7584834098816;6;281.74292993525853
73;613;813.8535807132721;2;283.25370463414794
74;628;824.8939843177795;6;280.3068373729762
75;633;836.3614873886108;2;288.10726449127986
76;644;847.7500264644623;5;296.1137229522567
77;650;859.23046708107;5;288.3568868348311
78;658;870.969580411911;4;287.5769253123655
79;669;882.2424376010895;6;292.46083290961656
80;678;893.799843788147;4;298.19382405425193
81;685;905.3629686832428;5;303.3889962774032
82;691;917.4357666969299;6;307.7217480875717
83;696;929.593318939209;4;292.10340129349646
84;703;940.8673331737518;3;304.52933406976865
85;713;952.5904834270477;4;289.5411694509477
86;720;964.9057788848877;6;309.0362949419733
87;727;977.3851773738861;7;311.4358821098321
88;731;989.5754404067993;6;311.5914926213052
89;736;1001.9826257228851;6;291.7275510986821
90;741;1014.5508706569672;3;296.2927969317022
91;751;1026.2596635818481;5;312.4177996287877
92;757;1038.47567653656;4;320.2134048592435
93;764;1050.744502544403;7;314.53374846308037
94;768;1062.6999394893646;2;316.86898959351646
95;779;1074.784238576889;8;319.1511457924591
96;782;1086.0915758609772;3;317.25264759425204
97;792;1097.6146705150604;3;315.87085399584225
98;812;1109.227210521698;5;318.41290954969924
99;818;1120.9210810661316;6;306.4798118894561
100;823;1133.1313500404358;6;300.43037790032514
