gen;step;elapsed.sec;n_sum;phi
1;4;7.100773811340332;6;0.0035768991330833444
2;9;14.185505390167236;4;0.5976161148360253
3;16;21.16627860069275;3;15.896428264510751
4;24;28.310896396636963;8;26.434565140429843
5;27;35.42242956161499;5;23.998858506884364
6;37;42.47977066040039;3;23.04651468206716
7;49;49.53876709938049;6;29.359051658018227
8;56;56.65134119987488;1;28.50156671315868
9;66;63.828747034072876;7;48.153802970663875
10;82;71.15235447883606;5;44.066620287401115
11;88;78.2393491268158;5;48.37384272330009
12;94;85.33899807929993;7;51.55277374303236
13;98;92.44480061531067;5;55.70276119814462
14;104;99.64147448539734;2;54.70190672857072
15;113;106.79114866256714;5;62.32589654167018
16;121;113.95601987838745;4;60.95159618958153
17;134;121.32090830802917;4;60.24417642418448
18;141;128.72670555114746;2;98.80891381942997
19;152;135.94589567184448;5;88.00616759342219
20;160;143.2371757030487;9;92.90727153926571
21;162;150.53786492347717;5;104.14059719867849
22;172;157.779438495636;7;79.02581254144106
23;178;165.2259819507599;7;92.47350490636339
24;182;172.8848536014557;6;94.32372655664501
25;189;180.33763432502747;7;88.82693596797311
26;193;188.14190196990967;6;97.86451429701164
27;198;195.37885737419128;6;81.87801051535529
28;203;202.7041997909546;4;95.89693644039474
29;210;209.87964534759521;5;91.12216470611538
30;218;217.18322944641113;6;131.0085860300434
31;225;224.50510573387146;5;140.27471607877337
32;231;231.96878862380981;4;155.0649644588854
33;238;239.34017205238342;6;98.0366084844829
34;243;246.68750524520874;5;134.21160376125624
35;259;253.96469855308533;7;136.89427487351898
36;263;261.27878618240356;6;115.4438241742869
37;270;268.4487717151642;5;118.42508153855982
38;276;275.67830085754395;5;123.6502998645244
39;282;282.8468015193939;7;126.51527019094709
40;286;290.0418710708618;4;125.24400562370963
41;295;297.2372646331787;5;124.45752997425619
42;303;304.3606424331665;6;132.4514037610543
43;308;311.50775122642517;4;135.7379738933595
44;315;318.64573431015015;3;127.58309212633515
45;325;325.9537410736084;6;126.64047875662607
46;330;333.3290832042694;4;130.3258245916171
47;337;340.96068382263184;7;358.4613010727703
48;341;348.48369312286377;8;165.15344364631738
49;344;355.8157534599304;5;160.1395156586807
50;350;363.95876121520996;5;169.5841483496776
51;356;371.3530066013336;5;157.0866522045518
52;362;378.5735373497009;4;165.8914451382451
53;369;385.89067482948303;8;173.28128399962137
54;372;393.2964594364166;7;166.29498346963408
55;376;400.61471152305603;4;168.66789958832956
56;385;407.9629511833191;4;223.78327348508577
57;392;415.1931700706482;6;181.49838424800325
58;399;422.40847063064575;5;181.96251173280135
59;407;429.7590968608856;6;179.41398503689587
60;412;437.17695140838623;5;185.16364468722423
61;420;444.5174186229706;4;187.96513746454667
62;431;452.18378591537476;7;199.79116662038157
63;437;459.6922881603241;6;197.36898565844663
64;452;467.1999807357788;7;198.39431779012824
65;456;474.76353693008423;7;203.06672966170305
66;460;482.6839385032654;5;203.51462537658804
67;468;490.10447430610657;3;186.10084256657
68;476;497.746454000473;3;199.90578249577646
69;490;505.02261090278625;7;193.98937492308468
70;496;512.3016977310181;5;201.6226097469535
71;502;519.6166155338287;7;206.05099253243037
72;506;526.900402545929;3;241.12936966235054
73;514;534.1939260959625;7;227.6277487606721
74;518;541.4622032642365;6;225.95971210023274
75;523;548.7483494281769;6;228.17161206746763
76;532;556.045583486557;5;232.8373624747556
77;540;563.4773361682892;5;247.16858180384264
78;552;570.9867753982544;8;258.1948581880085
79;569;578.3088629245758;6;264.290035643955
80;576;585.7127757072449;8;268.34481969107867
81;579;593.0814669132233;3;258.20731971285306
82;593;600.4051842689514;6;277.0002291332583
83;606;607.8407843112946;5;383.1542680586556
84;614;615.1840496063232;5;401.0322701737195
85;626;622.6237807273865;0;404.10578756503764
