gen;step;elapsed.sec;n_sum;phi
1;5;80.04968428611755;4;-7.220012038233747e-08
2;11;159.36551642417908;5;-3.976087783463811e-07
3;16;239.39935278892517;4;-4.4020956435630865e-08
4;22;319.38590955734253;7;-4.675834586187477e-08
5;25;398.8398232460022;5;-3.471386889053463e-08
6;30;478.2199158668518;6;-3.474495158251045e-08
7;34;557.9815304279327;5;-3.8564270002245804
8;41;638.8096380233765;2;-4.68710170714936
9;65;717.5283100605011;4;-4.824481653844702
10;83;796.4927747249603;8;-5.266458475894885
11;85;864.9056880474091;4;-7.278443184421269
12;93;945.409913778305;3;-5.352694536644725
13;102;1027.7966475486755;6;-5.943470837926146
14;106;1109.3018562793732;6;-5.79955226833739
15;116;1190.81636428833;5;-5.419147115207316
16;121;1273.1312201023102;7;-5.419233175418179
17;126;1353.0936191082;5;-5.440500288324473
18;131;1435.0297095775604;7;-5.5249316797265315
19;136;1516.4848651885986;7;-5.56531345116665
20;141;1599.0902364253998;6;-5.591933911314036
21;149;1680.6783034801483;5;-5.629711002244237
22;156;1762.21054148674;5;-5.642875145532635
23;161;1843.2984454631805;6;-5.596730132265817
24;165;1931.0727152824402;6;-5.551120865165991
25;173;2013.3307251930237;4;-5.5200300321842946
26;179;2095.6956486701965;5;-5.43775930060213
27;192;2178.27973818779;5;-5.487954009758365
28;197;2260.7870931625366;7;-5.515094189139619
29;200;2342.441671848297;4;-5.510433458271412
30;206;2422.740548849106;6;-5.49998299843989
31;212;2505.1864969730377;6;-5.502792580549416
32;218;2588.1438097953796;3;-5.488081729268326
33;225;2670.521003961563;6;-5.4507469403300775
34;229;2752.215943813324;8;-5.453278167274371
35;231;2834.1224920749664;5;-5.469333049809294
36;238;2914.4832150936127;6;-5.100692774357032
37;244;2997.4129028320312;5;-5.372139244380298
38;251;3081.5220913887024;6;-5.129348592608208
39;255;3163.233418703079;6;-5.1099074086307406
40;259;3246.7009184360504;2;-5.382549963732464
41;267;3329.9137134552;3;-8.26746362365315
42;274;3412.108651161194;4;-5.281988055093002
43;280;3494.14226603508;5;-8.491040459590298
44;285;3577.0156474113464;6;-5.129144933049594
45;289;3659.8313059806824;3;-4.640258735846586
46;300;3742.2211639881134;5;-4.256409320538144
47;305;3823.037507534027;6;-4.140336575571588
48;309;3906.6928703784943;6;-4.091658895956508
49;313;3990.6673398017883;6;-3.9858604923460166
50;321;4076.6603813171387;4;-4.716778715111211
51;327;4157.077445030212;5;-5.018865004987961
52;332;4239.300379991531;5;-4.900165736910229
53;339;4321.4647052288055;5;-7.568005696653996
54;346;4403.045436620712;7;-4.67945509192916
55;361;4484.845784902573;6;-4.554521423194686
56;365;4567.634626626968;5;-4.729770131963749
57;380;4650.234093666077;3;-4.531978674810551
58;389;4732.098179578781;4;-4.109621370472018
59;395;4814.203298330307;5;-4.4686283406512475
60;400;4897.977625370026;4;-4.170255389388356
61;418;4980.366780042648;4;-4.48197483922496
62;424;5063.629143714905;4;-3.5578835322156657
63;430;5147.897775888443;6;-3.707241959096743
64;434;5230.918169021606;6;-3.1701368952902267
65;438;5314.7533938884735;7;-3.733333773853162
66;441;5398.130815982819;4;-2.1587848196607022
67;447;5481.3540461063385;5;-6.364030785032044
68;452;5564.111356973648;6;-2.127775518281072
69;456;5651.734852313995;2;-2.441752635268558
70;466;5732.919628620148;5;-2.683639291530392
71;473;5817.12274312973;4;-2.909531484148582
72;481;5900.682647228241;4;-2.4537885845233514
73;487;5983.18074798584;7;-3.3406422577308117
74;490;6066.815604925156;3;-3.964820488450165
75;497;6148.400630712509;8;-3.4705999896698008
76;501;6231.18040060997;6;-3.7477745958336097
77;507;6315.3074605464935;5;-3.7960481838011084
78;512;6396.8447251319885;3;-3.73390780397845
79;523;6478.876341581345;5;-3.6437344567958747
80;528;6563.691416978836;5;-3.572583019980609
81;533;6648.060309410095;5;-3.5170702069938677
82;538;6729.2531979084015;5;-3.4196939374352437
83;551;6814.65718793869;3;-3.4416523269094697
84;562;6897.245584726334;6;-3.0933652547999055
85;566;6981.802183628082;1;-2.698633767178481
86;575;7043.187077522278;6;94.10488171279047
87;579;7118.296885251999;3;116.58309291140384
88;586;7191.602860927582;5;117.02739645855362
89;591;7267.931374073029;4;116.83972921381923
90;599;7344.027919769287;8;117.43695768470873
91;601;7420.571244716644;2;117.3772195853855
92;613;7494.161300897598;4;98.34285876207305
93;621;7570.937076330185;7;394.96941405738977
94;626;7647.421235561371;3;129.58364397134127
95;637;7722.579716920853;4;113.58118406269989
96;643;7797.319869041443;6;130.38478342759515
97;647;7873.983792543411;7;131.4557319031288
98;650;7950.188775062561;3;130.4683132523473
99;659;8023.673689842224;2;131.61492604852626
100;675;8098.809567928314;7;114.37029400744686
