gen;step;elapsed.sec;n_sum;phi
1;5;62.29960560798645;6;-0.3919428529238175
2;9;124.26241397857666;6;-6.722192580355113e-08
3;13;188.20194172859192;4;1.2976361304646382
4;29;242.87032341957092;5;0.6838243331198092
5;50;302.5617654323578;4;2.7102026487007995
6;58;361.7230455875397;6;7.169894688572129
7;62;421.3694031238556;5;4.481626743229964
8;75;476.3314003944397;6;3.211908869486699
9;79;531.4806973934174;4;3.3355904573656407
10;87;587.5352535247803;7;3.7705533572762806
11;92;648.96937251091;6;2.517557997012446
12;96;708.3308873176575;4;1.8503654232970665
13;102;767.3607819080353;8;2.2876489319580977
14;104;831.2854604721069;9;2.676517061511026
15;105;895.6600687503815;3;2.637413056602532
16;114;954.3961629867554;5;2.122829269990274
17;121;1014.7387380599976;6;3.807868603039579
18;125;1074.6450600624084;5;3.6533205063895657
19;130;1137.6789224147797;6;1.66293625039245
20;134;1197.0266213417053;8;4.676873316207995
21;136;1260.2235779762268;5;3.128525640261684
22;141;1319.7584311962128;6;2.9296471632808885
23;145;1384.3478834629059;5;3.1048874259491765
24;156;1446.0581619739532;2;3.200704031607609
25;168;1501.1683628559113;5;2.8274823386300882
26;173;1561.1054873466492;5;4.330829311128781
27;178;1622.1210606098175;3;6.199011672938596
28;187;1676.7590413093567;1;2.9399809381791058
29;196;1727.196056842804;6;2.703261212003427
30;200;1786.8950531482697;5;2.7427133242979096
31;207;1847.0462365150452;6;2.7365542551088295
32;211;1906.8076865673065;7;2.9715745069361694
33;216;1967.3314304351807;4;2.933893487911311
34;228;2025.5149879455566;5;3.5829654877699464
35;233;2087.304303407669;3;2.4096067243580346
36;244;2142.796161174774;9;9.020991503555816
37;247;2202.919867992401;4;-0.6559242663063001
38;259;2261.7262663841248;4;2.7167732198050865
39;273;2320.207841396332;4;7.394668731845549
40;279;2376.4094054698944;8;1.172278109713643
41;283;2437.3619742393494;5;-0.6011024378493159
42;290;2492.5234491825104;7;0.10046016078290365
43;295;2552.852439403534;3;0.10668685904719077
44;310;2612.596485853195;4;0.8706237023897327
45;322;2672.0613610744476;4;2.1392230275234683
46;332;2727.048857688904;3;3.0426743501056674
47;349;2782.378490447998;5;2.933311940446509
48;354;2843.1023499965668;3;3.523029534128919
49;361;2899.097511291504;5;11.983733096578813
50;368;2960.151072025299;7;11.010907225037418
51;373;3020.9311652183533;3;12.181281231909056
52;384;3077.337007045746;5;15.290600226971694
53;395;3133.0463230609894;7;14.07883082143169
54;398;3193.2275714874268;4;13.35880565454125
55;408;3248.9236578941345;4;12.166068407131833
56;414;3309.7242398262024;4;9.921034410501466
57;420;3370.8193197250366;4;11.264169258068016
58;426;3426.9121749401093;5;15.912048516911504
59;435;3486.624583721161;5;14.73096068338029
60;442;3542.9386162757874;5;14.862226530926323
61;447;3604.096586704254;5;10.03998901658363
62;452;3666.7046558856964;9;10.34513140630252
63;453;3730.612812757492;5;6.8627556488056385
64;458;3791.8257160186768;4;6.801003139656938
65;464;3852.663513660431;4;6.790880780827002
66;472;3912.246192216873;8;6.257941089212532
67;476;3973.8547830581665;6;7.959376494823962
68;486;4035.965353012085;6;5.543925223640393
69;490;4098.653577327728;4;5.886758053655301
70;500;4159.225277900696;7;5.106653671188333
71;509;4213.835183382034;4;4.981039655531981
72;521;4265.236281871796;4;5.8323832901807595
73;535;4321.682278394699;6;12.593220574108653
74;539;4374.056366205215;4;12.511175737582683
75;551;4431.084705114365;8;8.413045147125755
76;559;4492.033190250397;4;18.92012154408883
77;565;4553.171740293503;5;19.02268903618759
78;570;4617.155069828033;3;18.691779414891734
79;583;4670.845708370209;6;17.421424249391414
80;587;4732.933392524719;6;18.054582501371208
81;591;4796.665477991104;7;19.18699164590369
82;594;4858.362596273422;5;19.301480699651727
83;599;4921.24057841301;2;14.832983872797739
84;613;4976.516402006149;6;20.808735871113196
85;617;5038.901918411255;3;19.324090210808052
86;624;5098.858519792557;6;19.14257655979709
87;628;5165.05207657814;3;27.802667461333915
88;635;5224.242052316666;4;27.94288503828618
89;645;5285.775190114975;9;24.9172678169836
90;646;5349.618241786957;8;24.935558833961146
91;648;5410.92032957077;4;22.054497308858505
92;656;5467.697073698044;5;22.731629177935602
93;665;5528.1857213974;7;19.925727860578935
94;668;5589.453634977341;5;21.87984701448923
95;673;5649.66910982132;4;20.98182629362576
96;679;5709.66433095932;5;19.481975747274916
97;684;5771.476927042007;6;18.01538884581062
98;690;5834.535941362381;7;18.04118019914573
99;693;5896.242651939392;6;18.39545200081425
100;697;5958.166054725647;3;17.34950650057558
