gen;step;elapsed.sec;n_sum;phi
1;4;6.863220930099487;6;1.5968757327245195
2;23;13.819494724273682;7;-2.70879305652727e-08
3;31;20.760621786117554;4;12.824386950422651
4;48;27.69054675102234;5;49.76230186456188
5;60;34.60948705673218;3;78.34990068172763
6;68;41.579187870025635;5;251.04934575471964
7;80;48.556066274642944;3;187.37332699692593
8;170;55.55139875411987;5;324.21409819439896
9;176;62.667954206466675;3;187.80541558803944
10;184;69.82072281837463;6;195.51463966858387
11;189;76.86227560043335;4;366.49518662887954
12;198;83.85442066192627;4;381.26685633638704
13;233;90.88477849960327;4;258.5233273676834
14;240;97.92098569869995;6;557.7921738164258
15;247;105.15425443649292;5;460.55871527457214
16;257;112.24142956733704;5;621.0086970888538
17;263;119.45922660827637;5;633.200974041132
18;273;126.64292335510254;6;649.7978999892008
19;278;133.78240871429443;5;696.5439065381436
20;284;140.88906860351562;5;607.2911878502496
21;290;147.9214403629303;3;731.9510818394522
22;302;155.02637815475464;4;587.6153304669091
23;309;162.03677439689636;4;594.5859987983624
24;316;169.10813426971436;6;601.5324283912006
25;323;176.14732098579407;4;615.6415470813657
26;330;183.2047758102417;2;629.4945534816537
27;339;190.38695621490479;5;653.6954591888309
28;345;197.3517620563507;4;658.9171816109734
29;354;204.29998517036438;5;672.8576158509313
30;360;211.23296308517456;5;688.5070414590509
31;366;218.18021988868713;5;707.7724294351406
32;372;225.18545651435852;4;716.5527252045069
33;379;232.1424219608307;4;734.1158633263792
34;388;239.16204261779785;4;740.716033934778
35;399;246.36539340019226;6;1042.5497446804018
36;404;253.5214421749115;4;1064.6040149310375
37;411;260.6515326499939;5;1101.8050639979106
38;429;267.7755534648895;6;861.6054124553887
39;436;274.9834928512573;7;1110.9236975466783
40;442;282.2042157649994;6;1124.5875511181785
41;447;289.69368410110474;5;1145.4818353335704
42;459;297.9008593559265;6;1166.9328895260062
43;464;305.391316652298;6;857.7707314614881
44;469;312.82877349853516;7;1218.0108597434903
45;473;320.19422221183777;7;1227.4230040251575
46;477;327.50532960891724;7;1236.4661852387244
47;481;334.81047773361206;5;1250.3558721728245
48;487;343.0299074649811;5;1282.5187162909458
49;493;350.14895844459534;6;1293.317917893628
50;498;357.27731466293335;7;1306.3233050396846
51;502;364.40635085105896;1;1314.0064555064878
52;516;371.62726736068726;4;1356.3862043401562
53;537;378.8547217845917;8;1374.5538935987918
54;540;386.16882491111755;4;1416.8893565525086
55;553;393.41761684417725;7;1500.3168916301831
56;557;400.61239671707153;7;1470.6133631317048
57;561;407.7844262123108;6;1489.5833922193176
58;568;415.0343668460846;4;1499.7556587744598
59;575;422.21867203712463;6;1529.6098522636626
60;580;429.531152009964;5;1533.9348867316096
61;586;436.64351201057434;6;1557.0833594426
62;593;443.9379653930664;6;1553.1626561369553
63;598;451.08487200737;5;1604.7452526732036
64;604;458.2408490180969;4;1620.9434235822414
65;611;465.43094205856323;7;1639.2115807341493
66;615;472.6793563365936;4;1651.4241788650706
67;622;479.9262683391571;7;1664.2649041212612
68;626;487.13070154190063;3;1664.8830554337742
69;634;494.2992916107178;5;1684.887737787494
70;642;501.427250623703;3;1712.370360547187
71;652;508.56766414642334;7;1737.466269226134
72;656;515.6864495277405;6;1751.7537586104377
73;661;522.8414921760559;8;1764.2172894003943
74;664;530.0526094436646;5;1775.4255969401215
75;670;537.2225284576416;5;1818.8045807289382
76;676;544.4355700016022;6;1818.547747820557
77;681;551.5886709690094;7;1832.3555821537534
78;687;558.7531967163086;5;1833.7546286632496
79;693;565.9718501567841;5;1855.5956706365264
80;699;573.2291581630707;7;1874.1460404868483
81;703;580.4088928699493;3;1880.3873667926966
82;711;587.5967674255371;7;1907.8935121278223
83;715;595.4808943271637;5;1904.809448857959
84;723;602.6693832874298;7;1930.13044448614
85;729;609.8544926643372;8;1571.9399438181272
86;732;617.1490459442139;3;1584.9451265236555
87;746;624.4524102210999;7;1618.950964851266
88;750;632.1573791503906;6;1557.552710671152
89;755;639.5167615413666;4;1640.6366463781555
90;774;646.7553627490997;6;1673.7670695784868
91;791;653.9359192848206;4;1748.3147968425315
92;852;661.2385060787201;5;1752.0069923051428
93;864;668.9475328922272;3;1958.3534715278602
94;872;676.3916072845459;6;1867.9429953847095
95;879;683.9048404693604;5;1885.2886166829178
96;887;691.3358271121979;7;1873.39372667376
97;893;698.7003157138824;5;1913.1773052629624
98;899;706.0853917598724;7;1950.9642312496808
99;911;713.5411641597748;8;1941.2456397641804
100;914;720.9363231658936;3;1937.4642713412118
