gen;step;elapsed.sec;n_sum;phi
1;8;6.843944311141968;9;2.654813833700095
2;10;13.880638837814331;4;9.642285965877052
3;17;20.87141513824463;6;1.5622956699588153
4;22;27.89436650276184;6;17.320438523761588
5;27;34.806031703948975;5;19.106341363123
6;33;41.687984228134155;8;10.013838642090771
7;36;48.521506547927856;4;12.178150043708433
8;43;55.3987352848053;5;14.870183775432313
9;53;62.38067436218262;3;-3.2988172383951406
10;61;69.43130135536194;3;-4.8889665852569095
11;69;76.41342902183533;0;-5.040661627355208
