gen;step;elapsed.sec;n_sum;phi
1;5;64.30376648902893;5;-0.022204762614663975
2;10;124.25289916992188;6;1.5984414293997042
3;14;184.60463428497314;5;1.7479940752752108
4;23;245.44712328910828;3;5.237585995908503
5;32;299.001017332077;4;12.17430950704202
6;66;354.0931067466736;4;-2.4576081939990106
7;72;405.16210889816284;7;-1.6325589677588113
8;75;467.4450261592865;5;21.052399397684578
9;80;528.1069238185883;5;1.0338004203483564
10;85;589.7510147094727;4;22.307483020401886
11;91;648.589643239975;4;-5.810301273900606
12;97;711.0306398868561;8;52.32358409589109
13;99;776.5529925823212;4;65.79841003441535
14;105;837.4269502162933;3;58.9963151226085
15;120;892.3351421356201;6;43.514702933942736
16;124;955.1955461502075;6;26.09788631015084
17;128;1020.6273355484009;2;45.643404620777005
18;136;1075.7321410179138;4;37.19412115721932
19;142;1134.7343125343323;3;65.33614829644594
20;149;1192.8593320846558;8;68.91708099704175
21;151;1255.304940700531;5;80.30469571362397
22;156;1313.4045944213867;3;75.2138252204553
23;169;1367.2208166122437;2;74.03820804832476
24;179;1425.4386155605316;6;119.03442171997197
25;185;1491.191811323166;4;119.8077371353733
26;191;1556.2141699790955;8;113.11758615413078
27;193;1627.6947185993195;5;144.1272684081002
28;198;1694.2011890411377;9;109.37446203732125
29;199;1760.0833163261414;5;142.90174238981177
30;204;1822.687996149063;7;125.30842974346632
31;207;1886.1173210144043;6;144.6977731012057
32;211;1954.949111700058;5;146.54556354360662
33;216;2017.4311225414276;4;147.64077069633058
34;222;2077.849453687668;5;152.8283927899008
35;227;2141.101176261902;6;167.72677395490558
36;237;2204.1492099761963;8;168.9536288323655
37;239;2266.4242141246796;2;177.58080586422574
38;247;2320.9208891391754;4;174.78610561575726
39;253;2383.9016156196594;7;164.21515293295158
40;256;2446.1204419136047;6;166.68303609197187
41;262;2508.803822040558;6;169.25956925159085
42;266;2571.258646249771;5;173.45778992735973
43;271;2633.4447300434113;8;174.0524814386434
44;273;2696.519817352295;5;184.1589207023535
45;278;2757.7354106903076;3;181.22865339574074
46;285;2814.920485019684;7;184.6493530891758
47;288;2876.564127922058;1;186.81285694761326
48;297;2928.134848356247;6;189.96178956518554
49;301;2988.9151809215546;6;182.4948012454091
50;305;3050.6773250102997;4;185.04773249417536
51;313;3111.0422468185425;3;190.10967701935965
52;328;3167.1225922107697;5;195.643062488346
53;333;3228.5033457279205;5;207.92204736330245
54;338;3289.8249521255493;8;219.83225051657172
55;340;3352.41322350502;6;225.38346645610346
56;344;3414.591872692108;4;229.1956378342906
57;350;3475.5059020519257;7;234.3209561921476
58;355;3537.163418531418;3;240.66287386319624
59;364;3593.155293941498;4;247.5245394404794
60;370;3650.013633966446;5;252.34890511477988
61;377;3711.6120188236237;4;255.63597863472057
62;383;3768.33154797554;5;278.9085034724499
63;392;3826.801157474518;6;305.90465490210653
64;398;3885.461490392685;4;317.4047468884653
65;404;3943.2583723068237;4;322.9749675359414
66;414;4001.0849981307983;4;323.01546432481496
67;424;4056.1881353855133;4;317.65582098657626
68;432;4113.906274318695;7;322.99212653479094
69;435;4174.374535322189;5;323.25918827123627
70;440;4231.044211387634;3;325.7363299662015
71;447;4284.066044330597;3;323.27442636225965
72;454;4337.302059173584;5;352.08070743251693
73;483;4390.486295223236;7;357.71544087250277
74;486;4446.913353204727;6;364.8323444635875
75;490;4503.091809988022;5;273.07076764272915
76;495;4560.05137181282;5;277.1580207467647
77;500;4616.948709011078;6;281.4132268087214
78;504;4678.971890926361;5;326.3410051125583
79;509;4740.312978506088;5;280.3589626099382
80;514;4801.549420595169;5;283.81317767564667
81;519;4862.057604312897;8;342.83083479927916
82;521;4927.3705406188965;4;349.07720431473
83;527;4991.0353400707245;5;339.41958465268317
84;532;5052.556720256805;9;356.01191875332154
85;533;5117.129297733307;6;351.0179830555893
86;539;5181.442742109299;6;278.78711521596114
87;543;5243.278450012207;4;295.7113121861414
88;555;5303.478555440903;9;293.6477788123393
89;556;5365.011319875717;8;295.21024713180736
90;558;5427.817846536636;5;289.7026355774809
91;563;5488.4560759067535;5;284.1486971230021
92;568;5548.937169313431;5;272.45439971960053
93;573;5605.221897363663;6;275.7067379078012
94;577;5666.45027756691;6;276.30270125663174
95;581;5728.154034614563;3;254.19957736378208
96;590;5785.657443284988;6;244.42208470331832
97;594;5847.181667566299;8;226.5178901073504
98;596;5909.6992518901825;5;197.515640997069
99;603;5971.327610254288;4;167.59201240937324
100;609;6031.105638027191;7;27.977015590725955
