gen;step;elapsed.sec;n_sum;phi
1;5;58.9939820766449;3;-7.935030878047922e-05
2;14;109.8896234035492;4;0.008842943828329397
3;24;160.6982924938202;6;-0.00020756389713011414
4;28;216.48773646354675;7;-0.0003250123702931429
5;31;274.0504653453827;6;6.224942830612701e-05
6;37;332.37176728248596;4;0.00017525021823572295
7;45;390.2019100189209;5;3.6253405868985755
8;52;447.85352635383606;5;1.4484432087807089
9;57;504.4804904460907;4;-2.7264458024589544e-08
10;63;564.2041246891022;5;-5.946084755041131
11;70;622.9211630821228;1;7.323552786431264e-08
12;85;671.0343871116638;5;-5.313014289152501
13;90;727.4428336620331;5;22.27043959238986
14;95;787.8033499717712;9;22.73813252706635
15;100;851.0084607601166;5;23.486713231395562
16;107;909.1168999671936;3;33.001268180229104
17;114;964.2940685749054;5;-3.827977196394592
18;119;1024.472843170166;4;-2.939961052571973
19;127;1078.3468124866486;5;36.29968946158911
20;132;1137.4233665466309;4;34.21518672970348
21;138;1195.4828736782074;7;29.047269295875253
22;143;1253.572350025177;9;35.01129901837438
23;146;1314.6928026676178;7;41.78314101322249
24;149;1375.6575150489807;7;37.169031162417134
25;152;1435.8772616386414;3;40.05113666102103
26;163;1489.467794418335;5;37.95623564843002
27;168;1547.997190952301;8;41.21212340066488
28;170;1607.7999691963196;3;1.1725933417735264
29;179;1665.8520839214325;6;41.93882610764009
30;185;1726.4214811325073;6;42.28427238348888
31;191;1785.775881767273;5;45.712406035658745
32;198;1844.6703524589539;4;2.5211498393878866
33;204;1898.1099841594696;8;46.3310085444973
34;208;1956.843017578125;4;48.71012263793846
35;214;2015.5669124126434;3;47.390108828522436
36;223;2069.834785461426;0;48.46368310226814
