gen;step;elapsed.sec;n_sum;phi
1;13;70.29733943939209;8;6.555038098727707
2;33;145.76683282852173;5;21.229821981729483
3;40;210.45153713226318;4;98.98039519632663
4;54;274.86616110801697;6;127.11773622111869
5;70;349.7213041782379;5;138.75087984478583
6;75;414.40904426574707;7;136.9603067339702
7;78;490.4537618160248;2;110.38786817597997
8;86;566.2495775222778;5;121.36513343724444
9;93;642.218799829483;5;126.22142423408019
10;104;718.1567306518555;6;133.66030436423378
11;110;794.4773092269897;6;146.9920027377225
12;116;870.6409804821014;7;181.95420806856205
13;119;947.9076118469238;7;169.8789061074782
14;136;1024.3131177425385;5;223.56933592148704
15;153;1099.2784633636475;7;270.5864185738428
16;156;1174.8114364147186;4;281.90171852598587
17;186;1239.545563697815;5;311.5433699205552
18;195;1304.573143005371;3;343.7592920011115
19;204;1380.3644742965698;6;374.7430214069466
20;210;1457.6642048358917;7;379.32533580204984
21;213;1536.8732798099518;4;385.39186627234545
22;219;1612.9109480381012;4;377.97588934716975
23;227;1690.3186750411987;4;438.18105301760926
24;233;1766.843195438385;5;444.5279836101829
25;242;1844.1336879730225;3;448.3834967276109
26;255;1925.1710515022278;3;489.10162054874274
27;266;2009.6912128925323;4;534.3409745267102
28;272;2096.4247167110443;5;529.1086802960525
29;283;2178.0403327941895;5;556.3163338342201
30;288;2256.7281663417816;2;522.9632774505915
31;298;2334.824362754822;6;587.7495682827755
32;302;2414.716022491455;4;606.922705830808
33;308;2494.815553188324;4;596.6392097906697
34;316;2576.8572483062744;6;621.875313876978
35;320;2665.9859216213226;3;620.649319401859
36;327;2748.2913856506348;9;639.0682093848064
37;328;2835.534348011017;5;619.3438098622305
38;335;2915.526074886322;6;643.1390874600276
39;339;2994.4071617126465;6;652.9246786904488
40;343;3072.333471775055;9;567.1244549537271
41;346;3149.991042137146;4;574.6467562768374
42;354;3226.7146966457367;5;598.972546346836
43;361;3304.2116577625275;6;616.7096894727654
44;365;3383.738444328308;4;607.6748154135803
45;385;3461.8786067962646;3;657.8628609129291
46;402;3539.591239452362;6;682.5861103107378
47;406;3617.613265514374;4;723.0250172879149
48;414;3694.9491374492645;4;716.3645166497691
49;426;3775.951806306839;7;727.0099120400164
50;433;3855.0150146484375;6;742.5222771880824
51;441;3933.59619474411;5;807.4563961167289
52;470;4013.2181856632233;3;865.6277306393004
53;481;4090.7098360061646;5;931.7860802050038
54;488;4173.313651800156;7;880.7167401465356
55;491;4254.337881803513;2;881.6694951655174
56;515;4323.612165689468;5;940.9478310772953
57;532;4401.867207765579;3;1010.1419916904156
58;553;4468.9382147789;3;1041.298322902197
59;562;4546.026435375214;4;1058.2141572316502
60;568;4623.638279914856;4;1089.9653130607135
61;576;4700.859044313431;7;1092.7819307852265
62;579;4780.070303678513;6;1092.2302290014463
63;583;4857.835057258606;6;1101.6248830264485
64;587;4936.226417541504;6;1110.570934164818
65;591;5014.715935707092;3;1098.193184395845
66;600;5092.868600130081;5;1133.482901165606
67;607;5171.9208726882935;4;1138.6219113579812
68;613;5250.459914445877;6;1180.5720898470086
69;617;5329.263615369797;8;1198.552460968821
70;619;5408.112627983093;6;1193.7445602402804
71;623;5486.731917142868;9;1209.005721499374
72;624;5565.253830909729;3;1132.538925201769
73;647;5643.013890504837;5;1225.7881244642922
74;658;5719.432074546814;4;1257.7232031308918
75;664;5796.681003332138;4;1295.2548053559626
76;672;5875.093717098236;5;1300.8819636093704
77;677;5953.274135828018;5;1313.1905274694075
78;688;6030.938865661621;5;1329.221141682552
79;697;6108.9511024951935;2;1349.2600511527899
80;705;6186.435719490051;2;1396.3719507953433
81;719;6263.807911634445;6;1477.9492779682573
82;751;6340.882446050644;4;1460.2312075765165
83;761;6418.238030195236;5;1549.9276292819445
84;768;6484.5344479084015;5;1499.7107940807316
85;773;6562.9318635463715;4;1522.9823191049345
86;787;6641.861220836639;3;1558.8374707781977
87;808;6720.786474943161;3;1592.6931103268396
88;831;6798.068603754044;8;1622.7778369227935
89;833;6877.176588535309;5;1643.4988567683529
90;842;6944.089164733887;1;1646.9049664354898
91;901;7006.489639043808;4;1759.0456272666256
92;905;7083.910286903381;0;1868.2668987314823
