gen;step;elapsed.sec;n_sum;phi
1;3;60.52461504936218;6;-0.20245924381057062
2;7;121.8665599822998;6;0.05843850240759085
3;11;182.47471952438354;5;3.647217759170238
4;16;240.59462332725525;7;2.9629495040459544
5;23;297.728364944458;6;-4.814254885647739
6;29;356.2762324810028;4;-4.865190609885793
7;35;409.97064447402954;3;-7.279485591217192
8;44;461.78424406051636;7;26.4253242953316
9;49;521.5515003204346;5;24.118402977718024
10;54;573.9440126419067;6;11.539838900329006
11;58;629.0468497276306;5;-9.053731035565548
12;63;688.4219796657562;1;46.110702548737265
13;72;739.7714550495148;4;49.128860827158405
14;78;799.1175773143768;7;54.70860711350636
15;81;861.8216378688812;5;61.45244793081669
16;86;925.270664691925;6;38.356355751061265
17;92;986.7435586452484;4;47.70209621889775
18;98;1045.4967293739319;3;12.942327609479364
19;105;1101.4553821086884;5;43.98356340154045
20;114;1158.9660332202911;3;89.28658412536518
21;121;1214.3920857906342;5;96.4247343583583
22;126;1276.1130638122559;5;97.72605871263745
23;139;1328.261819601059;6;110.69648729151908
24;143;1384.7557399272919;5;116.77635165328863
25;152;1439.0433521270752;4;124.22886524543624
26;160;1491.4407963752747;3;141.76595979044464
27;185;1540.4666674137115;6;151.64071147874938
28;189;1598.5116198062897;7;172.94628763368826
29;192;1657.3733427524567;6;186.63269893948345
30;196;1717.4348349571228;7;170.23157732789747
31;201;1779.6707215309143;7;166.23667673649453
32;204;1837.298228263855;1;162.07694469244908
33;213;1889.5075919628143;6;144.83490593978325
34;219;1944.192219734192;6;150.39072680753526
35;223;1996.5634329319;9;146.5528188101572
36;226;2056.3516421318054;4;143.49074303451619
37;232;2109.6001949310303;6;142.6014390270356
38;238;2171.2404730319977;7;149.27500707241748
39;241;2235.38955450058;4;162.19928355595698
40;247;2294.002529859543;5;148.7452999652341
41;254;2357.592586517334;5;158.69591906883255
42;259;2418.1374180316925;5;177.58378473180377
43;264;2478.026790380478;7;173.77033070727623
44;267;2541.5503277778625;9;183.1346157868213
45;270;2604.3592998981476;6;210.7588776606548
46;274;2664.9928193092346;6;211.19997488807613
47;278;2728.459807395935;6;210.9823626712839
48;282;2790.421290397644;6;209.65401779897047
49;286;2854.220199108124;7;212.39921670091883
50;289;2914.6748774051666;4;206.17457260956917
51;295;2979.7347962856293;5;217.07556079348802
52;300;3042.656024456024;7;215.13589793869016
53;303;3105.9386727809906;4;213.4728547475609
54;309;3165.380798816681;7;197.94110284116823
55;312;3226.1579806804657;2;207.07223675401428
56;320;3282.6054990291595;6;203.93284588185375
57;324;3342.902851343155;3;206.60872481946973
58;331;3398.057720899582;4;210.7161694639588
59;337;3454.577748298645;7;213.15000761163782
60;340;3515.054253578186;7;233.4717206827782
61;343;3577.038292646408;2;227.3290273658415
62;353;3632.503543138504;6;204.60324919757184
63;357;3687.3068261146545;5;202.42998310395575
64;362;3746.862333536148;6;208.9522139496653
65;366;3809.1478428840637;4;209.26652254331307
66;372;3863.2437813282013;6;212.74381345842812
67;376;3926.378088235855;5;215.2215957791033
68;383;3985.0578424930573;3;219.45262563708488
69;394;4040.769961118698;7;233.4263432070871
70;413;4104.04748415947;6;283.2824328523641
71;417;4162.934348583221;5;240.67244054061226
72;426;4223.182653427124;6;233.51404273289492
73;430;4285.648195266724;6;243.35192915607124
74;434;4346.161432266235;1;251.51056832808072
75;445;4397.272839307785;6;299.99950696933956
76;451;4457.346385002136;7;291.7780236018381
77;454;4520.9076771736145;9;297.96982313572937
78;455;4582.371514558792;3;299.9618435659054
79;462;4635.629558563232;7;300.5192278168165
80;473;4695.717401742935;6;303.1480079157993
81;477;4750.602794408798;6;307.1796846427445
82;485;4810.669678688049;5;307.74002980320034
83;490;4865.481559753418;4;307.5501965760459
84;496;4919.450535297394;5;313.12378708102483
85;503;4981.232219696045;4;316.5069729460129
86;509;5040.291547775269;1;329.71912070307565
87;518;5091.778342008591;2;336.8279898085925
88;532;5144.860763788223;5;344.1677145845002
89;539;5205.020758867264;4;350.92050825630145
90;547;5263.807705163956;4;362.1995026318061
91;553;5321.745703458786;6;345.1398765871244
92;557;5377.586763858795;3;342.4147163022152
93;564;5432.825747013092;7;350.1984934480308
94;567;5494.450200796127;4;333.2617110024956
95;573;5553.097678184509;3;356.561279735085
96;580;5609.605937242508;4;357.2629544352592
97;586;5669.747514247894;7;361.63685386111354
98;591;5728.811998844147;6;369.8903866398014
99;595;5790.592622756958;3;337.2355160181136
100;602;5848.613188743591;9;339.53577307720496
