gen;step;elapsed.sec;n_sum;phi
1;3;71.2867169380188;8;-0.020611710634200753
2;5;148.4601128101349;6;-1.1115580312521174
3;9;224.423086643219;4;-0.8255920658932503
4;15;301.6844205856323;6;2.5519615419636676
5;19;377.93265104293823;4;1.322886488463638
6;65;455.3802442550659;7;4.327509951879929
7;68;530.6136274337769;4;19.600962060185736
8;74;606.3955216407776;8;21.388397337108557
9;76;682.787668466568;5;49.89487906507699
10;81;759.6983320713043;4;59.74707827062411
11;89;835.7559816837311;6;37.77053830695483
12;95;911.6029217243195;7;18.807642903213477
13;100;988.7210676670074;6;6.838546114579884
14;106;1066.796504497528;7;10.784575879449733
15;109;1144.285153388977;7;13.221130067927817
16;112;1224.3721795082092;7;15.48107387039451
17;117;1301.5169248580933;6;72.87766717712736
18;121;1378.522786617279;7;61.44237100675562
19;124;1455.731873512268;1;38.78403851719514
20;135;1515.3989276885986;7;53.33292069421502
21;138;1592.5049767494202;9;73.75278892436181
22;141;1669.229647397995;3;75.42261370344127
23;152;1746.0445764064789;8;66.25349539750681
24;154;1823.8222873210907;3;88.01148930107243
25;163;1900.328654050827;6;77.00978817603091
26;167;1977.651602268219;7;71.33162395283601
27;170;2055.018455028534;5;59.006775384557756
28;177;2131.638997554779;6;51.34951482963163
29;181;2209.6111414432526;2;55.4691659529353
30;191;2286.6662764549255;4;68.13101135320738
31;197;2363.2473821640015;7;46.97865647565223
32;200;2441.5794248580933;4;48.497226638604815
33;206;2519.160810947418;6;51.663913221944085
34;210;2596.7776596546173;7;47.64808678118686
35;213;2674.5058586597443;6;48.88782197406667
36;219;2753.725972890854;5;61.74435773521979
37;228;2831.5307998657227;5;71.70487383222394
38;233;2908.9185004234314;6;61.944244377083294
39;237;2986.788074493408;6;55.9944321298143
40;245;3063.8577342033386;6;57.99052034347909
41;249;3141.0791614055634;5;56.34841235572176
42;254;3218.410255432129;8;41.95837796935672
43;258;3295.835105419159;5;43.880027923049084
44;265;3374.0230963230133;6;62.02518500862254
45;269;3451.872090101242;5;60.55919253295566
46;280;3529.7333166599274;6;61.113423555895125
47;284;3607.860039949417;4;62.379294911048774
48;294;3687.0199279785156;4;59.579178662461146
49;300;3767.001782178879;4;58.73887078915155
50;306;3847.230020046234;5;61.45356282170982
51;311;3926.645263671875;3;62.91551727149519
52;318;4006.3959527015686;6;61.61316449521152
53;322;4087.020617723465;5;61.34582482832286
54;329;4167.407864570618;4;63.74982048576999
55;337;4245.815651416779;3;68.3695571818185
56;352;4324.441869735718;1;67.37513789102931
57;389;4383.925465583801;4;85.59400481980578
58;399;4463.086680173874;6;94.90806680679808
59;411;4541.261752605438;6;94.89653691594577
60;425;4619.688093423843;4;97.77916808871004
61;431;4697.5352075099945;4;101.23447557411407
62;437;4775.488981962204;3;97.79123026448332
63;444;4854.468914270401;5;98.91511495369696
64;449;4932.832926273346;4;300.0158732039278
65;455;5011.605900287628;4;308.14657953554376
66;463;5091.8308799266815;5;310.87425212533765
67;468;5172.646445989609;5;307.2089671116744
68;475;5253.550238132477;5;312.9843697557328
69;480;5339.680422306061;4;329.9502370075326
70;486;5428.9536871910095;6;332.45120891601897
71;492;5515.1208152771;5;339.2309672757619
72;497;5602.609978199005;5;343.64180616194085
73;502;5692.468798398972;6;335.71361770719113
74;506;5781.511106967926;6;340.493719591936
75;510;5871.065103292465;3;342.8920901741935
76;521;5953.929358959198;6;348.82465073877
77;525;6036.4301788806915;5;370.56348220397007
78;530;6115.679933547974;6;374.4143818053493
79;540;6197.46237039566;2;377.59718313887737
80;548;6282.557530164719;4;378.23570307244495
81;556;6365.084974050522;4;397.33927072071947
82;564;6443.0985198020935;6;407.94265052104674
83;574;6522.632726430893;5;410.3926617830399
84;581;6602.0803253650665;3;417.3335800172963
85;588;6679.0652115345;5;424.2613906383822
86;593;6756.531435012817;6;424.24141316122694
87;597;6834.92515540123;7;436.9673001125692
88;600;6913.980509996414;7;436.5538448538565
89;603;6993.111568927765;4;429.8584792528958
90;611;7072.336199760437;7;428.68293151850764
91;616;7151.9828724861145;7;433.67059185115136
92;621;7230.243582010269;5;432.53061963957254
93;626;7308.918600559235;5;417.4831490423933
94;631;7388.897855043411;5;431.29108895170623
95;636;7471.461413383484;4;429.06199288917077
96;642;7552.592787504196;5;431.0063550404335
97;647;7634.630696296692;7;432.21220032622443
98;650;7717.515948057175;3;431.46980684275684
99;657;7798.619589567184;7;438.262760951197
100;660;7881.17919421196;6;439.41100870035837
