gen;step;elapsed.sec;n_sum;phi
1;5;62.3587863445282;5;-2.8031236920522673e-07
2;20;120.95555686950684;5;-0.23453944469502197
3;29;184.88723063468933;6;0.006617126498286163
4;33;245.30041813850403;4;1.9112591336552935
5;39;302.98417353630066;4;-1.8660414714527787
6;49;362.9060640335083;6;-4.655969039966151
7;57;422.9382607936859;4;-4.861281435930923
8;63;485.0745210647583;3;-4.983376612539617
9;70;544.1942794322968;2;-5.106747351089291
10;78;601.0028252601624;5;-5.229145208544625
11;83;663.328816652298;5;-6.337387077405473
12;90;721.6139233112335;3;-5.2580172578203666
13;101;778.7723431587219;5;-5.423762051053986
14;106;835.5320975780487;6;-7.599152067700697
15;110;897.039621591568;10;-5.476494710492741
16;112;958.7626729011536;6;-5.458710347761388
17;120;1020.6910364627838;5;-5.506275943722251
18;127;1078.98876786232;4;-5.5613760704326225
19;135;1135.7385890483856;6;-5.619567500828748
20;139;1193.17609333992;8;-5.672252283079232
21;141;1247.7345969676971;5;-8.24988036636617
22;146;1305.3477323055267;4;-5.686863758222977
23;160;1365.4263200759888;1;-5.756535458675809
24;171;1415.1125609874725;3;-5.768353480695573
25;178;1466.9637553691864;6;-8.238361238248405
26;186;1519.9874033927917;3;-5.77391197160839
27;195;1573.2923502922058;4;-5.803449601215142
28;203;1629.3547751903534;5;-5.804459320982013
29;212;1687.1129398345947;5;-5.817126355318101
30;221;1744.8510918617249;4;-5.8463374661588094
31;229;1797.522019147873;7;-5.852676087617563
32;236;1857.0985906124115;9;-5.823597695993238
33;239;1916.9751238822937;5;-5.758025813883861
34;244;1974.8780000209808;3;-5.806507549105634
35;255;2027.6704950332642;5;-5.7867963067270365
36;262;2087.0626442432404;9;-5.220133738584602
37;263;2157.0533645153046;6;-4.973968169085437
38;267;2214.6432688236237;5;-5.715851100929753
39;276;2275.2119529247284;6;-7.063821211380805
40;282;2334.780692577362;3;-5.43844543155355
41;289;2387.870597600937;8;-5.43837366160713
42;291;2449.435574054718;4;-3.819609348674577
43;297;2508.724838733673;7;-5.374634913410022
44;300;2566.472764968872;5;-5.371570197603024
45;305;2619.7274227142334;4;-5.369069022265529
46;311;2677.5798041820526;5;-5.355688586761074
47;316;2734.9208703041077;7;-5.29660783336475
48;319;2793.1550376415253;4;-5.289959617271489
49;327;2852.026792526245;6;-5.273367996604784
50;331;2908.038121700287;4;-5.200155077401794
51;337;2961.4152994155884;5;-5.177452049156546
52;342;3027.5944514274597;6;-5.171014058320106
53;346;3088.5503618717194;4;-5.170209883976041
54;352;3147.9957790374756;5;-5.158373050749774
55;357;3211.7064621448517;3;-5.161739759559609
56;372;3267.972865343094;4;-5.107445549496659
57;378;3322.8024921417236;6;-5.134630790382111
58;382;3381.2971093654633;5;-5.07535288992099
59;389;3441.7075655460358;5;-5.026640893859502
60;394;3501.1514327526093;3;-8.950048699522334
61;401;3556.9738717079163;6;-4.810227754697629
62;405;3618.4182558059692;4;-4.762318129434558
63;413;3672.1541471481323;3;-4.737529039034289
64;420;3726.4056375026703;5;-4.534379055214811
65;427;3784.527043581009;8;-4.565422038678618
66;429;3845.3611199855804;4;-4.47916102634048
67;435;3902.923666000366;7;-4.4688144884797465
68;438;3962.837518453598;6;-4.338222679094276
69;446;4023.920135498047;6;-4.069198964636324
70;450;4080.618547677994;3;-6.761906734919315
71;461;4137.055872678757;5;-10.766384253922268
72;468;4195.092119932175;6;-10.770429238655414
73;472;4252.682334423065;8;-10.777712231951025
74;482;4317.66221165657;4;-10.789426452350177
75;490;4377.83678817749;5;-10.813870158446976
76;497;4435.998586654663;3;-10.824576980080142
77;506;4491.002892494202;1;-10.775914338504808
78;515;4541.5372405052185;6;-10.708203423189314
79;519;4599.482345819473;4;-10.742643562526125
80;527;4651.724640607834;5;-10.739512107605062
81;532;4708.7354283332825;5;-10.743143823192902
82;539;4764.578355312347;5;-10.719026484464035
83;544;4822.091638088226;8;-10.713864936694351
84;550;4880.189623594284;9;-10.716784652270231
85;551;4938.045950174332;7;-10.590401746017694
86;556;4999.768191337585;5;-10.635092406799892
87;563;5058.195573806763;6;-10.617960007129554
88;567;5115.589017868042;4;-10.646578177245232
89;573;5168.74427819252;8;-10.634700295264125
90;575;5223.043085813522;3;-8.71853277803345
91;584;5287.4377229213715;5;-8.920452600504811
92;613;5345.547648429871;5;-9.423529783763902
93;618;5397.569065570831;4;-8.95130403437235
94;624;5457.556856870651;4;-9.2702062285648
95;630;5516.990660190582;7;-9.20526609278027
96;635;5578.364368915558;4;-9.450614140871917
97;641;5638.488852977753;3;-9.386595794709908
98;648;5689.8737280368805;4;-9.090024502147546
99;656;5745.994036197662;4;-9.03298505949643
100;664;5807.714889287949;7;-8.905699796812781
