gen;step;elapsed.sec;n_sum;phi
1;5;56.32512664794922;5;6.088893549561466
2;14;115.40587210655212;4;14.585664245276494
3;22;175.7624363899231;3;30.529655494466184
4;29;231.30467295646667;5;43.814464192999935
5;36;291.694721698761;3;51.22563643036638
6;65;344.98048543930054;4;100.93009632678216
7;71;398.02091884613037;3;132.49048176976345
8;78;449.31629729270935;5;143.21436491140545
9;89;509.66955375671387;7;153.6648687769947
10;96;571.9972722530365;4;153.19326103672023
11;102;626.5049064159393;4;185.21146061047122
12;124;681.3807935714722;6;205.71315749971356
13;138;743.7132649421692;4;236.043149906705
14;146;803.8049159049988;5;252.79939541413577
15;155;865.2230095863342;7;259.5989778234241
16;158;925.0878055095673;8;270.8153726991878
17;162;986.5278322696686;6;281.8630641734509
18;172;1048.996868133545;6;298.2366285878383
19;178;1110.5756692886353;7;309.67349313667853
20;183;1170.4344980716705;4;316.1761916841591
21;191;1229.9687051773071;1;326.7735380979281
22;206;1280.841201543808;4;427.31931798416616
23;216;1332.250836133957;6;356.0795947932791
24;220;1393.2276237010956;6;368.14436641188075
25;226;1454.1851336956024;7;379.1290447206058
26;229;1517.2836685180664;5;385.62847004701825
27;234;1578.5027439594269;3;393.88347847997613
28;241;1634.969031572342;6;388.78211404814084
29;245;1694.939594745636;5;413.6558259559428
30;252;1755.872671842575;8;412.9287079944812
31;254;1823.7849769592285;1;420.1000390279861
32;275;1877.252525806427;2;453.61334069101787
33;285;1938.9182572364807;4;471.250492186191
34;293;2004.2047410011292;6;495.9360450916184
35;297;2075.531582593918;5;501.23541426316194
36;302;2132.27511882782;6;519.5583895672469
37;306;2194.3437218666077;4;524.3183032877179
38;314;2255.206280231476;6;538.5989385729307
39;326;2316.7771501541138;4;536.2102772573612
40;338;2373.0621094703674;5;561.1549300461362
41;345;2433.5597190856934;5;571.0682319746168
42;352;2494.9949021339417;5;586.5069723031912
43;357;2557.803678035736;5;598.053698203671
44;372;2620.8872921466827;5;614.5579652992068
45;385;2683.4024226665497;6;645.7346122881848
46;391;2741.5311477184296;5;653.828189916997
47;398;2798.137229204178;7;689.9926853963416
48;403;2861.127405643463;6;700.2513823004683
49;409;2923.371477365494;7;695.0028925693911
50;412;2985.2685873508453;6;700.9287464535818
51;418;3047.2085711956024;5;706.1092334800742
52;423;3108.5246708393097;6;717.7466964259434
53;431;3169.091858148575;2;730.3025129024074
54;439;3226.1600766181946;3;749.1164838261527
55;446;3284.0245013237;5;761.2317014049231
56;451;3346.794032096863;6;774.8735387027314
57;459;3409.285616874695;5;760.7668116942995
58;470;3466.894802093506;5;820.2668090024704
59;479;3524.523163318634;5;881.379113770806
60;484;3582.2164685726166;7;920.7470938089754
61;491;3645.947095155716;8;892.4435044157922
62;493;3713.7922976017;5;940.0881447610186
63;500;3778.8098356723785;3;1003.3559462962869
64;513;3838.985412836075;3;1055.4050083780662
65;522;3898.1640305519104;5;1113.057188325702
66;531;3957.0882318019867;4;1068.053146729977
67;561;4015.8515882492065;6;1092.9868530765998
68;565;4075.639094352722;6;1141.1686366542847
69;571;4130.993214130402;7;1148.2092934679874
70;578;4185.81653881073;5;1159.6744374318723
71;595;4240.2114062309265;6;1192.11954297519
72;603;4305.1198534965515;6;1215.8121145950267
73;609;4364.4745581150055;6;1221.4070405403484
74;615;4427.222890138626;5;1235.9371116895916
75;620;4489.03648519516;6;1252.8087345497622
76;626;4552.955977678299;7;1268.30545544228
77;631;4616.335114479065;4;1279.6780854915696
78;659;4678.515918493271;5;1324.5875620695026
79;674;4739.985083818436;5;1390.4658348862145
80;679;4798.3706312179565;6;1382.7945302876315
81;689;4855.61377620697;5;1388.1814162120763
82;696;4908.796709775925;4;1418.2579219829513
83;702;4968.747657060623;6;1429.357254656876
84;710;5031.4828288555145;7;1430.1909521023965
85;715;5093.691410064697;5;1445.5930287570727
86;722;5155.642907857895;5;1461.5835572762026
87;731;5217.85356593132;5;1476.3830804161626
88;736;5280.828564882278;4;1501.7059402290697
89;746;5342.294687986374;4;1506.6362849160707
90;754;5398.604571342468;5;1524.1763012947877
91;759;5461.7822942733765;6;1575.7942221787011
92;765;5526.414697885513;5;1549.9294466249999
93;770;5590.135298013687;6;1563.3299017110426
94;778;5654.411729812622;4;1586.6457479427613
95;784;5716.581335067749;6;1605.8588525271907
96;788;5779.991543531418;5;1619.1980069049278
97;793;5842.860694169998;5;1636.3893512631512
98;804;5906.303701162338;3;1648.5316717960568
99;813;5965.265104293823;4;1675.6443701075036
100;823;6024.024176836014;4;1689.251672576418
