gen;step;elapsed.sec;n_sum;phi
1;3;59.60499858856201;5;-0.36722915587004157
2;8;117.81660914421082;7;-0.03746433170690966
3;11;176.0186779499054;5;2.812850404067086
4;16;234.3366310596466;6;4.800787186899043
5;20;292.8669500350952;3;-3.5587917500747377
6;29;344.43930077552795;6;8.270319900035084
7;35;402.5610156059265;4;9.522753763042685
8;41;461.81429529190063;8;13.912660158912717
9;43;524.9269187450409;2;17.387598607602268
10;51;575.0345797538757;4;23.66467193254905
11;57;627.2467048168182;4;26.144616093620073
12;63;683.3412268161774;5;33.92698258404585
13;68;738.8917791843414;6;36.32402083404474
14;74;799.2652959823608;4;40.181177244445294
15;80;853.272057056427;7;45.93094320492271
16;83;912.0832817554474;6;48.99197435767344
17;87;967.7804446220398;4;52.25161743487695
18;93;1026.4948794841766;6;57.235268329275264
19;99;1087.3768074512482;4;62.30611974186546
20;105;1145.976999759674;3;64.87700106486999
21;120;1199.6622688770294;4;68.41389575848989
22;128;1253.431526184082;6;71.25178928956613
23;134;1307.648047208786;6;73.60359324218781
24;140;1361.213957309723;6;79.21936099057628
25;146;1420.5379974842072;4;79.16982518264469
26;154;1474.8528563976288;4;80.49162858196992
27;166;1528.9808323383331;7;98.91994247092046
28;169;1588.5259699821472;2;89.81462273077133
29;177;1643.2487788200378;3;69.75269951538709
30;186;1702.0488450527191;7;29.766754533715805
31;189;1761.4580221176147;5;24.61252617880186
32;194;1821.515730381012;3;14.955279957008267
33;207;1876.0804843902588;3;31.688098672208167
34;214;1930.6042449474335;5;33.909435904759235
35;221;1990.4184057712555;5;34.72802570654515
36;236;2044.6532559394836;7;31.04657293977435
37;241;2105.7105762958527;6;29.675676317153133
38;245;2163.244366168976;5;29.80955217944735
39;252;2222.88241481781;4;32.9101571459488
40;258;2282.0902013778687;5;32.999308637401086
41;263;2341.234828710556;8;33.24105835191204
42;265;2401.414879798889;4;34.15164502683411
43;271;2456.136650800705;10;34.00804600018939
44;272;2516.346081495285;5;34.21070109236511
45;277;2575.758058309555;6;35.22486053419043
46;287;2636.8748321533203;10;31.17127728316771
47;288;2697.4215581417084;5;31.57018997085449
48;295;2758.5104591846466;7;32.36636907740785
49;298;2821.239861726761;5;33.15358644810941
50;307;2878.2680208683014;6;19.89439445460853
51;313;2936.1562213897705;5;34.9458266084767
52;318;2988.522336959839;4;36.016340411300554
53;324;3048.6405370235443;5;36.91924356939075
54;329;3109.5845606327057;6;37.764642285241194
55;335;3172.8357112407684;3;38.4850335474314
56;344;3231.598713874817;4;39.895372752850804
57;376;3293.823386669159;7;41.76629328097775
58;379;3354.616855621338;6;45.55504549147686
59;383;3421.7949135303497;6;46.15312183845748
60;389;3485.173660516739;7;46.741125515866784
61;392;3548.386319875717;6;47.44913644394903
62;400;3612.5822734832764;4;48.282098453019884
63;418;3670.799071788788;3;97.87562512099542
64;425;3727.11852312088;4;51.948944682599205
65;431;3781.8873932361603;5;52.73826121733276
66;436;3842.036523103714;7;53.4128666491236
67;439;3902.242390394211;6;53.874967792189054
68;445;3961.268835067749;5;54.456176830783576
69;454;4022.257426738739;5;56.299275605725896
70;459;4084.722489595413;7;56.43567051298966
71;472;4147.024107694626;5;233.9833027092412
72;483;4202.489925861359;6;185.60408624328892
73;505;4258.10159611702;5;188.84590415701422
74;510;4310.908565282822;3;195.99328978686026
75;519;4368.176425695419;4;198.27608122925372
76;525;4427.315801382065;7;200.79780413100724
77;528;4489.062368392944;7;201.98947959332412
78;531;4550.841158628464;5;203.10762579848216
79;536;4611.226405382156;3;204.82235047462285
80;551;4668.991177558899;7;207.02707912778112
81;554;4727.917365312576;6;210.49713950898052
82;558;4786.9338982105255;3;211.54825221425114
83;565;4842.833349227905;8;207.35368812623182
84;569;4903.395194768906;2;213.88845008193897
85;577;4958.460225820541;5;216.24375723402613
86;582;5020.219731330872;4;217.875664779484
87;608;5075.320976018906;8;220.31786431310834
88;620;5135.390937566757;7;226.13034242783402
89;623;5195.357492923737;4;229.0478050904661
90;629;5257.274636030197;4;301.93853096756123
91;637;5318.785066843033;5;321.2569080052356
92;642;5379.9562821388245;3;322.2458584032076
93;649;5435.650920391083;5;301.86681460088425
94;658;5498.035933017731;6;311.8506134219583
95;662;5558.7435574531555;4;299.2026608288812
96;668;5619.204005718231;4;311.92379295735043
97;678;5675.358837842941;7;312.24737624357977
98;687;5731.687581062317;3;311.1620619833467
99;694;5788.251751422882;6;311.40655268203426
100;698;5848.951048135757;4;312.25666051021557
