gen;step;elapsed.sec;n_sum;phi
1;5;58.50167107582092;4;8.235797153845109
2;11;117.3117847442627;5;15.91823755436875
3;16;176.81403636932373;5;14.082195399034815
4;25;236.07059478759766;5;30.704093216071676
5;32;287.9114797115326;7;48.39280707019551
6;35;349.1881515979767;8;54.18568113134055
7;39;408.4738733768463;4;67.01251299760202
8;49;460.8409221172333;2;88.29695430310855
9;59;509.91348457336426;4;108.05003181044853
10;65;571.1764130592346;6;121.25288109271568
11;71;629.8857555389404;5;130.9683737995658
12;82;690.6842284202576;5;154.40749926138994
13;99;744.977872133255;3;205.5000703499618
14;128;794.6089837551117;5;248.263856835902
15;135;853.768748998642;6;279.10732162964024
16;143;908.1185767650604;5;275.786861826356
17;150;960.5370755195618;4;305.3547365761464
18;156;1019.9274632930756;7;311.97823971025895
19;161;1082.2920424938202;3;320.5485233181571
20;178;1134.7726881504059;4;372.6345256575049
21;184;1194.7948815822601;5;396.49687743857817
22;189;1254.2690665721893;3;411.56035346403917
23;196;1309.2816874980927;1;448.19035873364646
24;235;1360.7707726955414;6;455.5474989144475
25;239;1418.0901696681976;8;481.82843311732813
26;241;1478.815454006195;7;535.8477717109218
27;244;1538.600721359253;3;547.6376577231915
28;253;1593.4991104602814;2;557.7327702909115
29;265;1648.3606836795807;3;555.6326384824273
30;276;1703.5809395313263;8;600.8542226632353
31;280;1763.9221031665802;8;606.5834696227903
32;282;1823.7951109409332;6;625.94498069252
33;286;1883.5645682811737;3;640.6338293931203
34;295;1933.8023617267609;5;669.3119056156652
35;302;1988.844693660736;3;664.5322101363308
36;311;2043.9318940639496;4;685.3234968242273
37;319;2099.3171899318695;5;708.3053733972281
38;330;2152.525421142578;4;724.6747013835788
39;352;2211.7297945022583;3;797.74713735205
40;369;2261.964026927948;7;831.6254209457155
41;372;2317.1372225284576;10;840.072105169877
42;373;2375.2638659477234;7;837.851886292478
43;378;2437.1964769363403;7;846.5861647084154
44;381;2498.573060274124;7;837.0258668625636
45;388;2561.0598649978638;3;840.4468233325106
46;395;2617.5160779953003;2;895.2466542061579
47;407;2673.5105397701263;5;923.7280929987586
48;412;2735.232344865799;5;931.5663942776719
49;417;2798.1864161491394;2;932.5649194357924
50;427;2860.2087037563324;5;946.6447068386858
51;442;2921.405987739563;6;998.3018985190191
52;466;2981.8522641658783;2;1029.6760686218936
53;480;3032.2482013702393;8;1063.4562829449906
54;486;3092.9382967948914;3;1060.263708382694
55;515;3148.078001499176;3;1130.1500673162552
56;546;3203.141266822815;7;1183.1338192994372
57;553;3262.911453485489;6;1202.6969345624216
58;557;3318.137644290924;8;1224.9290815857414
59;561;3378.278307914734;8;1222.7018636219914
60;565;3438.2687661647797;4;1236.8302904235793
61;575;3498.104190826416;7;1259.407386856862
62;580;3559.7950325012207;6;1067.5099858439244
63;586;3619.2620589733124;6;1072.799500090422
64;592;3675.687806367874;5;1085.4000654550007
65;603;3735.183679819107;5;1138.991980422828
66;614;3794.8116414546967;4;1167.5480839297531
67;626;3851.879585504532;6;1187.3027045546755
68;634;3907.112171649933;3;1107.8088903660523
69;643;3960.233413219452;4;1148.754737411699
70;651;4015.5186896324158;4;1152.0609938324037
71;663;4071.0127561092377;4;1072.9702261389057
72;669;4126.596491575241;5;1077.8028206639156
73;676;4186.825564622879;5;1082.8754819187116
74;681;4246.862085580826;6;1106.3267174440361
75;691;4307.306973457336;5;1110.91304780751
76;708;4363.3134434223175;2;1150.9867134982
77;720;4413.820922374725;2;1186.9680834552157
78;728;4469.501878738403;6;1181.8417575566195
79;734;4530.226288795471;4;1193.7656046226487
80;742;4585.849380970001;6;1208.735839762422
81;746;4646.451631784439;5;1215.2717070874423
82;753;4702.385543823242;3;1244.9705603017483
83;776;4753.134537935257;5;1260.5866548553813
84;783;4804.024014949799;7;1285.558123248656
85;788;4864.400869846344;6;1298.32227353464
86;794;4922.833168506622;4;1250.4406349835892
87;806;4982.254000425339;8;1271.26480819208
88;810;5043.512611150742;4;1282.1450670695315
89;820;5102.421128511429;8;1297.5288084242088
90;824;5159.622958898544;5;1320.5921289375867
91;831;5210.730338335037;7;1319.8182751318088
92;834;5271.192611217499;5;1330.7989377800873
93;839;5326.791510105133;7;1336.9943724506238
94;844;5387.75453877449;7;1349.0866281540057
95;853;5443.610796928406;5;1354.3694135763708
96;858;5499.714677810669;3;1377.6800811272574
97;871;5556.551841497421;6;1397.4742890689245
98;885;5617.237025022507;6;1418.6321238422959
99;891;5678.128099441528;4;1469.2273805177902
100;899;5739.039925336838;4;1488.1389747136404
