gen;step;elapsed.sec;n_sum;phi
1;4;6.933686971664429;3;4.4773146727886655
2;16;14.032267808914185;4;22.374321219425084
3;27;21.07793426513672;7;29.19784362589214
4;31;28.187663078308105;6;39.53143422629154
5;36;35.19689750671387;3;45.395390194224234
6;44;42.34246063232422;5;63.974495426883266
7;50;49.37653636932373;2;81.11841450352469
8;61;56.42606592178345;7;100.69147601299193
9;65;63.576462268829346;4;86.39065810942859
10;74;70.79739737510681;5;99.86392933877774
11;80;77.94711470603943;6;111.40026438324274
12;111;85.01826763153076;4;117.02970988380378
13;120;92.00022506713867;6;168.81309933315848
14;125;99.09705996513367;2;191.18515797239172
15;134;106.05148315429688;3;205.829322259741
16;142;113.05373787879944;5;216.91785423783966
17;152;120.03279948234558;2;195.61558091915057
18;161;126.92116618156433;7;231.86023745398242
19;165;133.93202829360962;7;232.65231805895084
20;169;141.104022026062;4;247.2349618245658
21;176;148.17639636993408;7;250.5908425312692
22;180;155.16830134391785;5;254.75717624550185
23;188;162.16197681427002;5;262.4046577902402
24;194;169.3356659412384;5;273.33183962360096
25;202;176.4405882358551;5;280.29076986645066
26;208;183.50477004051208;6;286.9414231130335
27;215;190.55832386016846;4;303.62289338695643
28;222;197.54072093963623;7;305.8170957688254
29;226;204.4699628353119;5;307.7021714049149
30;232;211.40061497688293;4;318.027963101071
31;241;218.41676092147827;4;324.46262082657086
32;248;225.40375924110413;6;333.1961129919922
33;253;232.4331934452057;5;340.43221201413905
34;261;239.38909077644348;4;343.7581509305968
35;268;246.39699244499207;5;353.1237191090688
36;274;253.44127416610718;6;364.53663799339233
37;279;260.4589078426361;6;368.2027568086569
38;284;267.5048623085022;2;373.2962412358185
39;295;274.5767180919647;6;388.9601567114057
40;302;281.6492555141449;5;397.9389099341346
41;312;289.4584834575653;5;406.0746104977836
42;318;296.96312379837036;6;409.8338043785515
43;323;304.1261394023895;5;423.3336412146729
44;333;311.45573139190674;6;421.25126107757734
45;338;318.8812038898468;4;427.8795763185687
46;345;326.4300162792206;6;438.351398923406
47;350;333.811377286911;5;443.62518747248123
48;356;341.24257159233093;5;462.2944425549035
49;364;348.6547782421112;4;468.5280682747029
50;371;355.8288345336914;5;478.44780577872643
51;377;363.22790336608887;5;480.00210602037606
52;383;370.3457922935486;8;487.9204847089276
53;386;377.61755871772766;5;493.62655463728566
54;392;384.7692222595215;8;491.22482152121995
55;395;391.90378499031067;3;495.7405934938481
56;407;399.07210063934326;4;501.29274564892535
57;420;406.31669068336487;6;513.4409743112658
58;429;413.4619491100311;5;523.4899007455415
59;437;420.77907490730286;5;530.0905609588702
60;443;428.2851572036743;5;761.8765686216009
61;449;435.3700432777405;3;690.4601997625115
62;457;442.7810208797455;5;718.4544919172631
63;463;449.89157819747925;4;719.3790635643486
64;470;457.035564661026;3;730.2417840936337
65;484;464.19623732566833;5;736.3036671256389
66;490;471.3801689147949;6;747.6661185094589
67;495;478.53354597091675;5;753.7569939666366
68;501;485.69413232803345;4;763.7762914258011
69;508;492.85876655578613;6;766.3562851428957
70;513;499.9833240509033;7;766.5178026094854
71;517;507.10228157043457;4;769.7566562120454
72;524;514.1722707748413;4;775.7706199025747
73;531;521.3501591682434;6;786.7793090895543
74;536;528.4734904766083;6;786.8989506766906
75;541;535.8252038955688;4;804.9121296120983
76;548;543.235561132431;5;801.212522041703
77;554;550.6866476535797;7;813.9098872590691
78;558;558.3580319881439;4;818.6113628257458
79;565;565.8139953613281;3;824.3557808899585
80;575;572.8926165103912;6;824.3373817104263
81;582;580.0904567241669;6;832.0083565422586
82;587;587.2597439289093;5;835.1198484627275
83;593;594.4095101356506;4;842.3809437929337
84;602;601.5532214641571;8;861.3288241629814
85;609;608.6633472442627;4;858.8531544767866
86;618;615.788905620575;8;867.8730105436371
87;623;622.9140772819519;4;873.8329853697326
88;636;630.0085501670837;6;883.1727748918884
89;641;637.1506035327911;8;896.9642891860857
90;644;644.2928221225739;4;970.697716500191
91;653;651.4614989757538;4;1125.3079006147414
92;660;658.6901938915253;5;1075.8868733691652
93;666;665.9361391067505;7;1080.359318805651
94;670;673.0247790813446;6;1088.990599327905
95;675;680.3066143989563;4;1098.4563005815676
96;684;687.5273535251617;5;1113.3664973420794
97;690;694.7461228370667;5;1118.9077622272866
98;696;702.0159780979156;5;1131.6040447492717
99;704;709.2222518920898;2;1147.503758302243
100;713;716.3760113716125;3;1159.1664373711997
